"TestFormatRangeID","ActiveRange","TestFormatCode","PrimaryCode","ConditionalCode","ConditionalValue","Fasting","Sex","Age","AgeUnits","RangeDescription","PhoneRangeLow","PhoneRangeHigh","FlagRangeLow","FlagRangeHigh","AlertRangeLow","AlertRangeHigh","AuthorisationRangeLow","AuthorisationRangeHigh","DateValidFrom"
"180","True","ESR","False","@[096408]","QTA","False","F","67","Y","(2.0-27)","","","2.0000","27.0000","","","1.0000","30.0000",""
"181","True","ESR","False","@[095608]","GCA","False","F","67","Y","(2.0-27)","","","2.0000","27.0000","","","1.0000","30.0000",""
"182","True","ESR","False","@[096408]","GCA","False","F","67","Y","(2.0-27)","","","2.0000","27.0000","","","1.0000","30.0000",""
"183","True","ESR","False","@[095608]","TA","False","F","67","Y","(2.0-27)","","","2.0000","27.0000","","","1.0000","30.0000",""
"184","True","ESR","False","@[096408]","TA","False","F","67","Y","(2.0-27)","","","2.0000","27.0000","","","1.0000","30.0000",""
"185","True","ESR","False","","","False","F","67","Y","(2.0-27)","","","2.0000","27.0000","","","1.0000","70.0000",""
"186","True","ESR","False","@[095608]","QTA","False","M","67","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"187","True","ESR","False","@[096408]","QTA","False","M","67","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"188","True","ESR","False","@[095608]","GCA","False","M","67","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"189","True","ESR","False","@[096408]","GCA","False","M","67","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"190","True","ESR","False","@[095608]","TA","False","M","67","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"191","True","ESR","False","@[096408]","TA","False","M","67","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","30.0000",""
"192","True","ESR","False","","","False","M","67","Y","(2.0-25)","","","2.0000","25.0000","","","1.0000","70.0000",""
"193","True","ESR","False","@[095608]","QTA","False","F","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"194","True","ESR","False","@[096408]","QTA","False","F","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"195","True","ESR","False","@[095608]","GCA","False","F","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"196","True","ESR","False","@[096408]","GCA","False","F","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"197","True","ESR","False","@[095608]","TA","False","F","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"198","True","ESR","False","@[096408]","TA","False","F","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"199","True","ESR","False","","","False","F","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","70.0000",""
"200","True","ESR","False","@[095608]","QTA","False","M","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"201","True","ESR","False","@[096408]","QTA","False","M","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"202","True","ESR","False","@[095608]","GCA","False","M","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
